Date,Month,Plant,Commodity,Required_MT,Target_Buffer_Days
2025-04-29,4,Bhilai Steel Plant,coking_coal,44994.1,21
2025-04-29,4,Bhilai Steel Plant,limestone,19351.1,21
2025-04-29,4,Bhilai Steel Plant,thermal_coal,30565.8,21
2025-04-29,4,Bokaro Steel Plant,coking_coal,46841.5,21
2025-04-29,4,Bokaro Steel Plant,limestone,19178.5,21
2025-04-29,4,Bokaro Steel Plant,thermal_coal,28978.6,21
2025-04-29,4,Rourkela Steel Plant,coking_coal,46942.6,21
2025-04-29,4,Rourkela Steel Plant,limestone,20981.4,21
2025-04-29,4,Rourkela Steel Plant,thermal_coal,28554.9,21
2025-04-29,4,Durgapur Steel Plant,coking_coal,45076.6,21
2025-04-29,4,Durgapur Steel Plant,limestone,18765.8,21
2025-04-29,4,Durgapur Steel Plant,thermal_coal,28561.7,21
2025-05-06,5,Bhilai Steel Plant,coking_coal,44535.5,21
2025-05-06,5,Bhilai Steel Plant,limestone,16156.1,21
2025-05-06,5,Bhilai Steel Plant,thermal_coal,26295.1,21
2025-05-06,5,Bokaro Steel Plant,coking_coal,43087.9,21
2025-05-06,5,Bokaro Steel Plant,limestone,17776.9,21
2025-05-06,5,Bokaro Steel Plant,thermal_coal,29965.6,21
2025-05-06,5,Rourkela Steel Plant,coking_coal,42465.6,21
2025-05-06,5,Rourkela Steel Plant,limestone,17057.9,21
2025-05-06,5,Rourkela Steel Plant,thermal_coal,32038.2,21
2025-05-06,5,Durgapur Steel Plant,coking_coal,43693.6,21
2025-05-06,5,Durgapur Steel Plant,limestone,19721.6,21
2025-05-06,5,Durgapur Steel Plant,thermal_coal,26835.5,21
2025-05-13,5,Bhilai Steel Plant,coking_coal,43120.1,21
2025-05-13,5,Bhilai Steel Plant,limestone,19799.7,21
2025-05-13,5,Bhilai Steel Plant,thermal_coal,27328.2,21
2025-05-13,5,Bokaro Steel Plant,coking_coal,44776.3,21
2025-05-13,5,Bokaro Steel Plant,limestone,18518.9,21
2025-05-13,5,Bokaro Steel Plant,thermal_coal,28875.0,21
2025-05-13,5,Rourkela Steel Plant,coking_coal,43016.9,21
2025-05-13,5,Rourkela Steel Plant,limestone,22934.1,21
2025-05-13,5,Rourkela Steel Plant,thermal_coal,29375.7,21
2025-05-13,5,Durgapur Steel Plant,coking_coal,42196.1,21
2025-05-13,5,Durgapur Steel Plant,limestone,21080.6,21
2025-05-13,5,Durgapur Steel Plant,thermal_coal,27202.5,21
2025-05-20,5,Bhilai Steel Plant,coking_coal,44476.0,21
2025-05-20,5,Bhilai Steel Plant,limestone,16072.6,21
2025-05-20,5,Bhilai Steel Plant,thermal_coal,27009.3,21
2025-05-20,5,Bokaro Steel Plant,coking_coal,44454.4,21
2025-05-20,5,Bokaro Steel Plant,limestone,20929.2,21
2025-05-20,5,Bokaro Steel Plant,thermal_coal,29708.5,21
2025-05-20,5,Rourkela Steel Plant,coking_coal,43891.8,21
2025-05-20,5,Rourkela Steel Plant,limestone,19058.0,21
2025-05-20,5,Rourkela Steel Plant,thermal_coal,26738.7,21
2025-05-20,5,Durgapur Steel Plant,coking_coal,42804.3,21
2025-05-20,5,Durgapur Steel Plant,limestone,18770.9,21
2025-05-20,5,Durgapur Steel Plant,thermal_coal,31302.8,21
2025-05-27,5,Bhilai Steel Plant,coking_coal,44718.5,21
2025-05-27,5,Bhilai Steel Plant,limestone,16426.5,21
2025-05-27,5,Bhilai Steel Plant,thermal_coal,29983.4,21
2025-05-27,5,Bokaro Steel Plant,coking_coal,43406.9,21
2025-05-27,5,Bokaro Steel Plant,limestone,18381.5,21
2025-05-27,5,Bokaro Steel Plant,thermal_coal,30501.0,21
2025-05-27,5,Rourkela Steel Plant,coking_coal,45955.8,21
2025-05-27,5,Rourkela Steel Plant,limestone,21276.3,21
2025-05-27,5,Rourkela Steel Plant,thermal_coal,27889.4,21
2025-05-27,5,Durgapur Steel Plant,coking_coal,43543.4,21
2025-05-27,5,Durgapur Steel Plant,limestone,20196.3,21
2025-05-27,5,Durgapur Steel Plant,thermal_coal,31156.0,21
2025-06-03,6,Bhilai Steel Plant,coking_coal,38737.5,21
